"Source:","C:\Users\User\Documents\kicad\LineTracerHackerton_2022_curcuit\latton rt.kicad_sch"
"Date:","2022-03-05 오전 3:17:33"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","LCSC Part #","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","PARTREV","STANDARD"
"","","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","C2286","","","","",""
"","","J1","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","",""
"","","J2","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","",""
"","","J3","5267-02A-X","5267-02A-X:5267-02A-X","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","https://www.molex.com/pdm_docs/sd/099990986_sd.pdf","Conn Shrouded Header (4 Sides) HDR 2 POS 2.5mm Solder ST Top Entry Thru-Hole SPOX Bag","6.1","","","MOLEX PREMISE NETWORK","5267-02A-X","",""
"","","J4","5267-02A-X","5267-02A-X:5267-02A-X","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","https://www.molex.com/pdm_docs/sd/099990986_sd.pdf","Conn Shrouded Header (4 Sides) HDR 2 POS 2.5mm Solder ST Top Entry Thru-Hole SPOX Bag","6.1","","","MOLEX PREMISE NETWORK","5267-02A-X","",""
"","","J5","XT60-M","XT60-M:XT60-M","XT60-M:AMASS_XT60-M","","","","","AMASS","","","1.2","IPC-7251"
"","","R1","R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","C17617","","","","",""
"","","SW1","SW_SPDT","Switch:SW_SPDT","Button_Switch_THT:SW_CuK_JS202011AQN_DPDT_Angled","~","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","LCSC Part #","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","PARTREV","STANDARD"
"1","1","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","C2286","","","","",""
"2","2","J1, J2","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","",""
"3","2","J3, J4","5267-02A-X","5267-02A-X:5267-02A-X","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","https://www.molex.com/pdm_docs/sd/099990986_sd.pdf","Conn Shrouded Header (4 Sides) HDR 2 POS 2.5mm Solder ST Top Entry Thru-Hole SPOX Bag","6.1","","","MOLEX PREMISE NETWORK","5267-02A-X","",""
"4","1","J5","XT60-M","XT60-M:XT60-M","XT60-M:AMASS_XT60-M","","","","","AMASS","","","1.2","IPC-7251"
"5","1","R1","R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","C17617","","","","",""
"6","1","SW1","SW_SPDT","Switch:SW_SPDT","Button_Switch_THT:SW_CuK_JS202011AQN_DPDT_Angled","~","","","","","","","",""
